,edge,mean_bert_score
0,"('Slavery', 'United_States')",0.19396229088306427
1,"('Life', 'Organism')",0.3130793571472168
2,"('Nuclear_fission', 'Energy')",0.30469003319740295
3,"('Biology', 'Bacteria')",0.4692467451095581
4,"('Scottish_Gaelic_language', '19th_century')",0.21771357953548431
5,"('NATO', 'Greece')",0.44837409257888794
6,"('William_Thomson%2C_1st_Baron_Kelvin', 'Thermodynamics')",0.24473324418067932
7,"('Optical_microscope', 'Chromatic_aberration')",0.40280842781066895
8,"('Mammal', 'Scientific_classification')",0.3036879897117615
9,"('Novel', 'Romanticism')",0.3524181842803955
10,"('Tom_and_Jerry_%28MGM%29', 'Nintendo_Entertainment_System')",0.21175426244735718
11,"('Adolf_Hitler', 'Architecture')",0.17601320147514343
12,"('Grevy%27s_Zebra', 'Kenya')",0.10567686706781387
13,"('Carbon_dioxide', 'Fossil_fuel')",0.5313433408737183
14,"('Poor_Law', '16th_century')",0.2918655574321747
15,"('Reggae', 'Salsa_music')",0.42474663257598877
16,"('Stratford-upon-Avon', 'England')",0.31281644105911255
17,"('Chinese_language', 'India')",0.25237685441970825
18,"('Porgy_and_Bess', 'New_York_City')",0.20915567874908447
19,"('Roman_Catholic_Church', 'Cretaceous-Tertiary_extinction_event')",0.12025560438632965
20,"('Dmitri_Mendeleev', 'London')",0.12067459523677826
21,"('Colombia', 'Peru')",0.7537850737571716
22,"('Biology', 'Drosophila_melanogaster')",0.3864666223526001
23,"('Motion_%28physics%29', 'The_Lion_King')",0.0988670215010643
24,"('Paul_McCartney', 'The_Beatles')",0.5973862409591675
25,"('Soybean', 'Biodiesel')",0.4667704701423645
26,"('Jan_Mayen', 'Weather')",0.12076584249734879
27,"('Gal%C3%A1pagos_Islands', 'Charles_Darwin')",0.3159140348434448
28,"('Roman_Empire', 'Istanbul')",0.3369741439819336
29,"('Lawn', 'Cricket')",0.3420395255088806
30,"('Salt_Lake_City%2C_Utah', 'Tourism')",0.20169903337955475
31,"('North_America', 'World_Health_Organization')",0.298409640789032
32,"('Northern_Ireland', 'Giant%27s_Causeway')",0.2744332551956177
33,"('Dead_Sea_scrolls', 'Hebrew_language')",0.4372583031654358
34,"('Aluminium', 'Salt')",0.34491223096847534
35,"('Trinity_College%2C_Cambridge', 'University_of_Cambridge')",0.777794361114502
36,"('Aztec', '16th_century')",0.27958372235298157
37,"('BP', 'Energy')",0.24345646798610687
38,"('Whale_song', 'Vancouver')",0.1951117366552353
39,"('Dark_Ages', 'Augustine_of_Hippo')",0.32184669375419617
40,"('Feather', 'Feather')",1.0
41,"('Milk', 'Tuna')",0.35544919967651367
42,"('Tibet', 'Lhasa')",0.45638737082481384
43,"('Cinema_of_the_United_States', 'Fine_art')",0.30449753999710083
44,"('Atlantic_Ocean', 'Pacific_Ocean')",0.8427320718765259
45,"('Qatar', 'Education')",0.17600573599338531
46,"('Confucianism', 'Confucianism')",1.0000001192092896
47,"('London_Bridge', 'Bridge')",0.5306820273399353
48,"('Saturn_V', 'Space_Shuttle_program')",0.39410391449928284
49,"('Triassic', 'Triassic')",1.0000001192092896
50,"('Seawater', 'Water')",0.744056224822998
51,"('Mao_Zedong', 'Marxism')",0.38626235723495483
52,"('John_McEnroe', 'Homestar_Runner')",0.42181721329689026
53,"('Danube', 'Germany')",0.32169461250305176
